school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,f,0.6000000000000001,U,GT3,A,1.0,1.0,at_home,teacher,course,mother,0.3333333333333333,0.5,0.0,yes,no,no,no,yes,yes,no,no,0.75,0.5,0.75,0.0,0.0,0.5,0.26666666666666666,11
GP,f,0.40000000000000036,U,GT3,T,0.25,0.25,at_home,other,course,father,0.0,0.5,0.0,no,yes,no,no,no,yes,yes,no,1.0,0.5,0.5,0.0,0.0,0.5,0.13333333333333333,11
GP,f,0.0,U,LE3,T,0.25,0.25,at_home,other,other,mother,0.0,0.5,0.0,yes,no,no,no,yes,yes,yes,no,0.75,0.5,0.25,0.5,0.5,0.5,0.4,12
GP,f,0.0,U,GT3,T,1.0,0.5,health,services,home,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,yes,0.5,0.25,0.25,0.0,0.0,1.0,0.0,14
GP,f,0.20000000000000018,U,GT3,T,0.75,0.75,other,other,home,father,0.0,0.5,0.0,no,yes,no,no,yes,yes,no,no,0.75,0.5,0.25,0.0,0.25,1.0,0.0,13
GP,m,0.20000000000000018,U,LE3,T,1.0,0.75,services,other,reputation,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.75,0.25,0.0,0.25,1.0,0.4,13
GP,m,0.20000000000000018,U,LE3,T,0.5,0.5,other,other,home,mother,0.0,0.5,0.0,no,no,no,no,yes,yes,yes,no,0.75,0.75,0.75,0.0,0.0,0.5,0.0,13
GP,f,0.40000000000000036,U,GT3,A,1.0,1.0,other,teacher,home,mother,0.3333333333333333,0.5,0.0,yes,yes,no,no,yes,yes,no,no,0.75,0.0,0.75,0.0,0.0,0.0,0.13333333333333333,13
GP,m,0.0,U,LE3,A,0.75,0.5,services,other,home,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.75,0.25,0.25,0.0,0.0,0.0,0.0,17
GP,m,0.0,U,GT3,T,0.75,1.0,other,other,home,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,1.0,0.0,0.0,0.0,1.0,0.0,13
GP,f,0.0,U,GT3,T,1.0,1.0,teacher,health,reputation,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.5,0.5,0.5,0.0,0.25,0.25,0.13333333333333333,14
GP,f,0.0,U,GT3,T,0.5,0.25,services,other,reputation,father,0.6666666666666667,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.25,0.25,0.0,0.0,0.75,0.0,13
GP,m,0.0,U,LE3,T,1.0,1.0,health,services,course,father,0.0,0.0,0.0,no,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.5,0.0,0.5,1.0,0.0,12
GP,m,0.0,U,GT3,T,1.0,0.75,teacher,other,course,mother,0.3333333333333333,0.5,0.0,no,yes,no,no,yes,yes,yes,no,1.0,0.75,0.5,0.0,0.25,0.5,0.0,13
GP,m,0.0,U,GT3,A,0.5,0.5,other,other,home,other,0.0,1.0,0.0,no,yes,no,no,yes,yes,yes,yes,0.75,1.0,0.25,0.0,0.0,0.5,0.0,15
GP,f,0.20000000000000018,U,GT3,T,1.0,1.0,health,other,home,mother,0.0,0.0,0.0,no,yes,no,no,yes,yes,yes,no,0.75,0.75,0.75,0.0,0.25,0.25,0.4,17
GP,f,0.20000000000000018,U,GT3,T,1.0,1.0,services,services,reputation,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,0.5,0.25,0.5,0.0,0.25,0.25,0.6666666666666666,14
GP,f,0.20000000000000018,U,GT3,T,0.75,0.75,other,other,reputation,mother,0.6666666666666667,0.5,0.0,yes,yes,no,yes,yes,yes,no,no,1.0,0.5,0.25,0.0,0.0,0.75,0.13333333333333333,14
GP,m,0.20000000000000018,U,LE3,T,1.0,0.75,health,other,home,father,0.0,0.0,0.0,no,no,no,yes,yes,yes,yes,no,0.5,0.0,0.5,0.0,0.5,1.0,0.4,12
GP,m,0.0,U,GT3,T,1.0,0.75,teacher,other,reputation,mother,0.0,0.5,0.0,no,no,no,no,yes,yes,yes,no,0.75,0.75,0.0,0.0,0.0,0.0,0.0,14
GP,m,0.0,U,GT3,T,1.0,1.0,health,health,other,father,0.0,0.0,0.0,no,yes,yes,no,yes,yes,yes,no,1.0,0.75,0.25,0.0,0.0,1.0,0.0,12
GP,m,0.20000000000000018,U,LE3,T,1.0,0.5,teacher,other,course,mother,0.0,0.5,0.0,no,no,no,yes,yes,yes,yes,no,0.75,1.0,0.0,0.0,0.5,1.0,0.0,14
GP,m,0.20000000000000018,U,LE3,T,0.5,0.5,other,other,reputation,mother,0.3333333333333333,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.75,0.75,0.5,0.75,1.0,0.13333333333333333,10
GP,f,0.0,R,GT3,T,0.5,1.0,services,health,course,mother,0.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.25,0.0,0.0,1.0,0.13333333333333333,10
GP,f,0.20000000000000018,U,GT3,T,0.5,0.5,services,services,home,mother,0.0,0.0,0.0,no,yes,no,no,no,yes,yes,no,0.0,0.25,0.25,0.0,0.5,1.0,0.4,12
GP,m,0.0,U,GT3,T,0.5,0.5,other,other,home,mother,0.0,0.0,0.0,no,yes,no,no,yes,yes,yes,no,0.75,0.25,0.25,0.0,0.25,1.0,0.5333333333333333,12
GP,m,0.0,U,GT3,T,1.0,0.5,health,services,other,mother,0.0,0.0,0.0,no,no,no,no,yes,yes,yes,no,0.25,0.25,0.75,0.5,0.75,0.0,0.0,11
GP,m,0.20000000000000018,U,LE3,A,0.75,1.0,services,other,home,mother,0.0,0.5,0.0,yes,yes,yes,yes,yes,yes,yes,no,1.0,0.5,0.5,0.0,0.0,1.0,0.13333333333333333,13
GP,m,0.0,U,GT3,T,1.0,1.0,health,services,home,mother,0.0,0.5,0.0,no,yes,yes,no,no,yes,yes,no,1.0,0.75,0.25,1.0,0.75,1.0,0.0,11
GP,m,0.0,U,GT3,T,1.0,1.0,services,services,reputation,mother,0.3333333333333333,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.0,0.0,0.0,1.0,0.13333333333333333,15
GP,m,0.0,R,GT3,T,1.0,0.75,teacher,at_home,course,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,yes,0.75,1.0,0.25,0.0,0.0,1.0,0.0,15
GP,m,0.0,U,LE3,T,0.75,0.75,other,other,course,mother,0.0,0.5,0.0,no,no,no,yes,no,yes,yes,no,1.0,0.5,0.25,0.0,0.0,0.25,0.0,12
GP,m,0.20000000000000018,U,GT3,T,0.75,0.5,other,other,home,mother,0.0,0.0,0.0,no,yes,no,no,no,yes,yes,no,1.0,0.75,0.5,0.0,0.0,1.0,0.26666666666666666,12
GP,f,0.0,U,GT3,T,0.5,0.75,other,other,other,father,0.3333333333333333,0.0,0.0,no,yes,no,yes,yes,yes,no,no,0.5,1.0,0.0,0.0,0.0,1.0,0.26666666666666666,11
GP,m,0.0,U,LE3,T,1.0,0.75,teacher,services,home,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.75,0.5,0.0,0.0,0.75,0.0,14
GP,m,0.20000000000000018,R,GT3,A,1.0,1.0,other,teacher,reputation,mother,0.3333333333333333,1.0,0.0,no,yes,no,yes,yes,yes,yes,yes,0.25,0.75,0.5,0.0,0.0,1.0,0.26666666666666666,13
GP,f,0.0,R,GT3,T,0.75,1.0,services,health,course,mother,0.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.25,0.0,0.0,1.0,0.13333333333333333,12
GP,f,0.0,R,GT3,T,0.5,0.5,at_home,other,reputation,mother,0.0,0.0,0.0,yes,yes,no,yes,yes,yes,no,no,0.75,0.5,0.0,0.0,0.0,0.25,0.5333333333333333,12
GP,m,0.0,U,LE3,T,1.0,1.0,teacher,other,home,other,0.0,0.0,0.0,no,yes,no,no,no,yes,yes,yes,1.0,0.75,0.5,0.5,0.75,1.0,0.5333333333333333,11
GP,m,0.0,U,GT3,T,1.0,1.0,services,teacher,course,father,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.5,0.0,0.0,1.0,0.0,15
GP,m,0.0,U,GT3,T,0.5,0.5,services,services,course,father,0.0,0.0,0.0,yes,yes,no,no,yes,yes,yes,no,1.0,0.75,0.0,0.0,0.0,0.0,0.0,10
GP,f,0.0,U,LE3,A,1.0,0.75,other,other,course,mother,0.0,0.5,0.0,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.25,0.25,0.0,0.0,1.0,0.26666666666666666,11
GP,f,0.20000000000000018,U,LE3,A,0.75,0.75,other,services,home,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.25,0.5,1.0,0.0,0.75,0.5,0.4,13
GP,m,0.0,U,GT3,T,1.0,0.5,teacher,other,home,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,no,no,0.75,0.5,0.5,0.5,0.25,1.0,0.26666666666666666,13
GP,f,0.0,U,GT3,T,1.0,1.0,services,teacher,other,father,0.0,0.5,0.0,yes,yes,no,yes,no,yes,yes,no,0.75,0.75,0.75,0.0,0.0,0.5,0.13333333333333333,12
GP,f,0.20000000000000018,U,LE3,T,0.5,0.5,services,services,course,mother,0.6666666666666667,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.75,0.5,0.5,0.5,0.5,0.75,0.0,13
GP,f,0.0,U,LE3,T,1.0,0.5,health,other,other,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.75,0.5,0.5,0.0,0.0,1.0,0.0,16
GP,m,0.0,U,LE3,A,1.0,0.5,health,health,other,father,0.3333333333333333,0.0,0.0,no,no,no,no,yes,yes,no,no,1.0,1.0,1.0,1.0,0.75,1.0,0.26666666666666666,9
GP,f,0.0,U,GT3,T,1.0,1.0,services,services,course,mother,0.0,0.0,0.0,yes,yes,no,no,yes,yes,yes,no,0.5,0.5,0.75,0.5,0.5,1.0,0.0,12
GP,f,0.20000000000000018,U,GT3,A,0.5,0.25,other,other,other,mother,0.0,0.5,0.0,no,no,no,yes,yes,yes,yes,yes,1.0,0.5,0.75,0.0,0.0,0.25,0.13333333333333333,12
GP,f,0.0,U,GT3,A,1.0,0.75,services,services,reputation,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.25,0.0,0.0,0.0,0.0,15
GP,m,0.0,U,GT3,T,1.0,1.0,teacher,health,reputation,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,no,no,0.5,0.25,0.25,0.0,0.0,1.0,0.5333333333333333,16
GP,m,0.0,U,LE3,T,0.25,0.5,other,at_home,home,father,0.0,0.5,0.0,yes,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.25,0.0,0.0,1.0,0.0,14
GP,f,0.20000000000000018,U,GT3,T,1.0,0.5,services,other,course,mother,0.0,0.5,0.0,no,yes,yes,no,yes,yes,yes,no,0.75,0.25,0.5,0.0,0.0,1.0,0.13333333333333333,16
GP,f,0.20000000000000018,R,GT3,T,1.0,1.0,health,teacher,other,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,no,no,0.25,0.75,0.75,0.5,0.5,0.75,0.0,16
GP,f,0.20000000000000018,U,LE3,T,0.25,0.5,other,services,reputation,father,0.0,0.5,0.0,yes,no,no,yes,yes,yes,yes,no,0.75,0.75,0.5,0.0,0.0,0.0,0.0,10
GP,f,0.20000000000000018,U,GT3,T,1.0,0.75,teacher,health,home,mother,0.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,0.5,0.75,0.75,0.5,0.75,0.75,0.0,13
GP,f,0.0,U,LE3,T,1.0,0.75,services,services,reputation,father,0.0,0.5,0.0,yes,no,no,yes,yes,yes,yes,yes,0.75,0.75,0.75,0.5,0.75,0.25,0.0,12
GP,f,0.20000000000000018,U,LE3,T,1.0,0.75,teacher,services,course,mother,0.6666666666666667,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.75,0.5,0.0,0.25,0.0,0.13333333333333333,16
GP,f,0.0,R,LE3,T,0.5,0.5,health,services,reputation,mother,0.3333333333333333,0.5,0.0,yes,yes,no,no,yes,yes,yes,no,0.75,0.0,0.5,0.0,0.5,0.75,0.0,11
GP,f,0.0,R,GT3,T,0.25,0.25,other,other,reputation,mother,0.0,0.5,0.0,yes,yes,no,no,no,yes,yes,yes,0.5,0.5,0.75,0.5,0.75,1.0,0.13333333333333333,11
GP,m,0.20000000000000018,U,GT3,T,0.75,0.25,other,other,reputation,mother,0.0,0.0,0.0,no,no,no,yes,yes,yes,no,no,1.0,0.5,0.25,0.5,0.25,1.0,0.0,14
GP,f,0.20000000000000018,U,GT3,T,0.75,0.75,other,services,home,mother,0.0,0.5,0.0,yes,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.5,0.5,0.75,1.0,0.26666666666666666,11
GP,m,0.0,U,GT3,T,1.0,0.75,teacher,other,home,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,0.75,0.5,0.5,0.5,0.5,1.0,0.0,11
GP,f,0.20000000000000018,U,GT3,T,0.75,1.0,at_home,other,course,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.25,0.75,0.5,0.0,0.25,0.5,0.9333333333333333,11
GP,m,0.0,U,GT3,T,0.5,0.75,other,services,course,father,0.0,0.0,0.0,yes,yes,no,yes,no,yes,yes,yes,0.5,0.25,0.25,0.0,0.5,0.5,0.0,12
GP,m,0.0,U,GT3,T,0.5,0.75,other,other,home,mother,0.0,1.0,0.0,yes,no,no,no,no,yes,yes,no,1.0,0.5,0.25,0.0,0.25,1.0,0.13333333333333333,9
GP,f,0.0,U,LE3,T,0.75,0.5,services,other,reputation,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.75,0.75,0.75,0.0,0.0,1.0,0.26666666666666666,11
GP,m,0.0,U,LE3,T,0.5,0.5,services,services,home,mother,0.3333333333333333,0.5,0.0,no,no,yes,yes,yes,yes,yes,no,1.0,0.5,0.5,0.0,0.5,0.75,0.13333333333333333,13
GP,f,0.0,U,GT3,T,0.25,0.25,other,other,home,father,0.0,0.5,0.0,no,yes,no,yes,no,yes,yes,no,0.75,0.5,0.25,0.5,0.5,0.75,0.13333333333333333,12
GP,f,0.0,U,GT3,T,1.0,1.0,services,services,reputation,father,0.3333333333333333,0.5,0.0,no,no,no,no,yes,yes,yes,yes,0.75,0.75,0.75,0.5,0.5,1.0,0.26666666666666666,12
GP,f,0.20000000000000018,U,LE3,T,0.5,0.5,at_home,other,course,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,no,no,0.75,0.5,0.75,0.0,0.25,0.25,0.4,11
GP,f,0.0,U,GT3,T,1.0,0.5,other,other,reputation,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.5,0.5,0.0,0.5,0.0,0.26666666666666666,15
GP,m,0.20000000000000018,U,GT3,T,0.5,0.5,services,other,reputation,father,0.3333333333333333,0.5,0.0,no,no,no,yes,no,yes,yes,no,0.75,0.75,0.25,0.0,0.0,0.5,0.4,11
GP,m,0.20000000000000018,U,LE3,A,1.0,1.0,teacher,health,reputation,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,no,no,0.75,0.0,0.5,1.0,1.0,1.0,0.4,10
GP,f,0.20000000000000018,U,GT3,T,0.75,0.75,other,other,home,mother,0.0,1.0,0.0,no,yes,no,no,yes,yes,yes,yes,0.75,0.5,0.5,0.0,0.5,0.75,0.13333333333333333,11
GP,f,0.0,U,GT3,T,1.0,0.75,services,other,reputation,mother,0.0,0.0,0.0,no,no,no,yes,yes,yes,yes,no,0.75,1.0,1.0,0.0,0.5,0.0,0.4,13
GP,f,0.20000000000000018,U,LE3,T,0.75,0.25,other,other,home,father,0.0,0.5,0.0,yes,yes,no,no,yes,yes,no,no,0.5,0.5,0.5,0.5,0.5,0.25,0.0,12
GP,f,0.20000000000000018,U,GT3,T,1.0,0.5,teacher,services,home,mother,0.3333333333333333,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.5,0.5,0.0,0.0,0.0,0.13333333333333333,14
GP,m,0.20000000000000018,R,GT3,T,1.0,0.75,services,other,reputation,mother,0.3333333333333333,0.0,0.0,yes,yes,yes,yes,no,yes,yes,no,0.5,0.5,0.5,0.0,0.0,0.75,0.4,11
GP,f,0.20000000000000018,U,GT3,T,0.5,0.25,other,other,course,mother,0.0,0.5,0.0,no,yes,no,no,yes,yes,no,yes,0.75,0.5,1.0,0.0,0.0,1.0,0.0,12
GP,f,0.20000000000000018,U,GT3,T,1.0,1.0,other,other,reputation,mother,0.0,0.0,0.0,no,no,no,yes,no,yes,yes,no,1.0,0.5,0.75,0.0,0.25,0.0,0.26666666666666666,13
GP,f,0.20000000000000018,U,GT3,T,1.0,0.75,other,at_home,course,mother,0.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,1.0,0.5,1.0,0.0,0.0,0.5,0.13333333333333333,13
GP,m,0.20000000000000018,U,GT3,T,1.0,1.0,services,teacher,other,father,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,yes,0.75,0.75,0.5,0.0,0.0,0.75,0.0,16
GP,m,0.0,U,GT3,T,1.0,1.0,services,other,course,mother,0.0,0.0,0.0,no,yes,yes,yes,no,yes,yes,no,1.0,0.5,0.5,0.0,0.0,1.0,0.13333333333333333,12
GP,m,0.0,U,GT3,A,0.75,1.0,services,other,course,mother,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.75,0.75,0.0,0.0,0.0,0.0,16
GP,m,0.20000000000000018,U,GT3,T,0.75,0.75,services,other,home,father,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.5,0.5,0.0,0.0,1.0,0.26666666666666666,14
GP,f,0.20000000000000018,U,LE3,T,1.0,1.0,health,health,other,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,yes,1.0,0.75,1.0,0.0,0.0,0.75,0.13333333333333333,14
GP,m,0.0,U,LE3,A,1.0,1.0,teacher,teacher,course,mother,0.0,0.0,0.0,no,no,no,yes,yes,yes,yes,no,1.0,1.0,0.5,0.0,0.0,0.75,0.26666666666666666,14
GP,f,0.20000000000000018,R,GT3,T,0.75,0.75,services,other,reputation,father,0.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,0.75,0.0,0.25,0.0,0.0,0.25,0.26666666666666666,11
GP,m,0.0,U,LE3,T,1.0,0.5,teacher,other,course,mother,0.0,0.0,0.0,no,no,no,no,yes,yes,yes,no,0.5,1.0,0.25,0.0,0.0,0.5,0.6666666666666666,18
GP,m,0.0,R,GT3,T,0.5,0.25,health,services,reputation,mother,0.0,0.5,0.0,no,no,no,yes,yes,yes,yes,yes,1.0,0.75,0.25,0.0,0.0,1.0,0.26666666666666666,10
GP,m,0.20000000000000018,U,GT3,T,1.0,1.0,teacher,teacher,course,father,0.0,0.5,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.75,0.75,0.0,0.25,1.0,0.4,14
GP,m,0.0,U,GT3,T,1.0,1.0,other,teacher,reputation,father,0.3333333333333333,0.5,0.0,no,yes,no,yes,yes,yes,no,no,0.75,0.75,0.5,0.0,0.0,0.25,0.26666666666666666,16
GP,m,0.20000000000000018,U,GT3,T,0.75,0.75,other,services,home,father,0.3333333333333333,0.0,0.0,no,no,no,yes,yes,yes,yes,no,1.0,0.75,0.25,0.0,0.0,1.0,0.4,15
GP,m,0.0,U,GT3,T,0.75,1.0,other,other,reputation,father,0.0,0.0,0.0,no,no,no,no,yes,yes,yes,no,0.5,0.75,0.5,0.0,0.25,0.75,0.13333333333333333,14
GP,f,0.0,U,GT3,T,0.25,0.5,at_home,services,course,mother,0.0,0.5,0.0,no,no,no,no,no,yes,yes,no,0.5,0.25,0.5,0.0,0.25,0.0,0.0,14
GP,f,0.20000000000000018,U,LE3,T,0.5,1.0,other,health,course,father,0.3333333333333333,0.5,0.0,no,yes,no,yes,yes,yes,yes,yes,0.75,0.25,0.25,0.0,0.25,1.0,0.13333333333333333,13
GP,m,0.20000000000000018,U,GT3,T,1.0,1.0,health,other,course,mother,0.0,0.0,0.0,no,yes,no,yes,yes,yes,yes,no,0.5,0.75,0.75,0.0,0.75,1.0,0.26666666666666666,13
GP,f,0.20000000000000018,U,GT3,T,0.5,0.5,other,other,home,mother,0.0,0.5,0.0,no,no,no,no,yes,yes,yes,yes,1.0,0.75,0.75,0.0,0.0,1.0,0.0,11
GP,m,0.0,U,GT3,T,0.75,1.0,services,services,home,father,0.0,0.0,0.0,yes,no,no,no,yes,yes,yes,no,1.0,1.0,1.0,1.0,0.25,1.0,0.13333333333333333,9
GP,f,0.0,U,LE3,A,0.75,1.0,other,other,home,mother,0.0,0.5,0.0,yes,no,no,yes,yes,yes,yes,yes,1.0,0.5,0.25,0.0,0.0,0.0,0.0,11
GP,m,0.20000000000000018,R,GT3,T,1.0,1.0,teacher,teacher,course,mother,0.0,0.0,0.0,no,no,no,yes,yes,yes,yes,no,0.5,1.0,1.0,0.5,1.0,0.75,0.5333333333333333,15
GP,m,0.20000000000000018,U,GT3,T,0.5,0.75,other,other,course,mother,0.3333333333333333,1.0,0.0,no,yes,no,no,no,yes,yes,yes,0.5,0.25,0.5,0.5,0.25,0.0,0.26666666666666666,13
GP,f,0.0,R,GT3,T,0.75,1.0,services,teacher,course,father,0.3333333333333333,1.0,0.0,no,yes,no,no,yes,yes,yes,yes,0.75,0.25,0.25,0.5,0.25,1.0,0.0,12
GP,f,0.40000000000000036,U,LE3,A,0.5,0.25,other,other,course,mother,0.6666666666666667,0.0,0.0,no,yes,no,no,yes,yes,yes,no,0.5,0.25,0.25,0.0,0.25,1.0,0.5333333333333333,11
GP,f,0.0,U,GT3,T,0.25,0.25,at_home,other,course,mother,0.6666666666666667,0.0,0.0,no,yes,no,yes,no,yes,yes,yes,0.75,0.5,0.5,0.0,0.25,0.75,0.4,13
GP,f,0.40000000000000036,U,LE3,T,0.5,0.5,other,other,course,father,0.0,0.0,0.0,no,yes,no,no,yes,yes,yes,yes,0.5,0.75,0.75,0.0,0.5,1.0,0.13333333333333333,12
GP,f,0.20000000000000018,U,GT3,A,0.75,1.0,services,other,course,father,0.0,0.0,0.0,no,no,no,no,yes,yes,yes,no,0.5,0.25,0.0,0.0,0.75,1.0,0.8,14
GP,m,0.20000000000000018,U,GT3,T,0.5,0.25,at_home,other,course,mother,1.0,0.0,0.0,no,no,no,no,yes,yes,no,no,0.5,0.25,0.0,0.0,0.0,0.25,0.26666666666666666,11
GP,m,0.0,R,GT3,T,0.75,1.0,at_home,teacher,course,mother,1.0,0.5,0.0,no,yes,no,no,yes,yes,no,yes,1.0,0.5,0.5,0.0,0.0,1.0,0.13333333333333333,11
GP,f,0.0,U,GT3,T,1.0,1.0,services,at_home,course,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,yes,0.75,0.5,0.5,0.0,0.0,1.0,0.26666666666666666,15
GP,m,0.40000000000000036,R,GT3,T,0.75,1.0,at_home,other,course,mother,0.6666666666666667,0.5,0.0,no,no,no,no,yes,yes,no,no,1.0,0.75,1.0,0.5,0.75,1.0,0.13333333333333333,10
GP,f,0.20000000000000018,R,GT3,T,0.25,0.25,at_home,other,course,mother,1.0,0.5,0.0,no,yes,no,no,yes,yes,no,no,1.0,0.0,0.5,0.0,0.0,0.5,0.0,13
GP,f,0.20000000000000018,R,GT3,T,0.25,0.25,other,services,reputation,mother,0.3333333333333333,0.0,0.0,no,yes,no,yes,yes,yes,no,yes,0.5,0.5,0.5,0.0,0.25,0.0,0.5333333333333333,11
GP,f,0.20000000000000018,U,GT3,A,0.75,0.75,other,other,course,other,0.3333333333333333,0.0,0.0,no,yes,no,yes,no,yes,yes,yes,0.75,0.5,0.25,0.0,0.0,1.0,0.26666666666666666,10
GP,f,0.0,U,GT3,T,1.0,1.0,teacher,teacher,course,mother,0.3333333333333333,0.0,0.0,no,no,no,yes,yes,yes,yes,no,0.75,0.5,0.25,0.0,0.0,1.0,0.4,14
GP,m,0.20000000000000018,U,GT3,T,1.0,1.0,services,services,course,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,1.0,0.5,0.5,0.0,0.5,1.0,0.0,13
GP,m,0.20000000000000018,U,LE3,T,0.5,0.5,services,services,reputation,father,0.3333333333333333,0.0,0.0,no,yes,no,yes,yes,yes,yes,no,0.25,0.5,0.5,0.5,0.25,0.25,0.26666666666666666,11
GP,f,0.0,U,GT3,T,1.0,1.0,teacher,services,course,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,0.75,0.25,0.25,0.0,0.0,1.0,0.13333333333333333,13
GP,f,0.20000000000000018,U,LE3,T,0.25,0.25,at_home,at_home,course,mother,0.0,0.0,0.0,no,no,no,no,yes,yes,yes,no,0.5,0.75,0.75,1.0,0.5,0.0,0.26666666666666666,11
GP,f,0.0,U,GT3,T,0.25,0.25,other,services,course,father,0.0,0.5,0.0,no,yes,no,no,yes,yes,yes,no,0.75,0.75,0.25,0.0,0.25,1.0,0.0,12
